A00;Cholera
A01;Typhus abd. und Paratyphus;Typhus abdominalis und Paratyphus
A02;Sonstige Salmonelleninfektionen
A03;Shigellose [Bakterielle Ruhr]
A04;Sonstige bakterielle Darminfektionen
A05;Sonstige bakt. bedingte Lebensmittelverg.;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert
A06;Amöbiasis
A07;Sonstige Darmkrankheiten durch Protozoen
A08;Virusbedingte und sonstige näh.bez. Darminfekt.;Virusbedingte und sonstige näher bezeichnete Darminfektionen
A09;Sonst. & n.n.bez. GE & Kolitis infekt. & n.n.bez. Urspr.;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs
A15;Tbc der Atmungsorgane, bakt., mol.-bio., hist. gesichert;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A16;Tbc der Atmungsorgane, wed. bakt., mol.-bio., noch hist. ges.;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A17;Tuberkulose des Nervensystems
A18;Tuberkulose sonstiger Organe
A19;Miliartuberkulose
A20;Pest
A21;Tularämie
A22;Anthrax [Milzbrand]
A23;Brucellose
A24;Rotz [Malleus] und Melioidose [Pseudorotz]
A25;Rattenbisskrankheiten
A26;Erysipeloid
A27;Leptospirose
A28;Sonstige bakt. Zoonosen;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert 
A30;Lepra [Aussatz]
A31;Infektion durch sonstige Mykobakterien
A32;Listeriose
A33;Tetanus neonatorum
A34;Tetanus perinatal und post partal;Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes
A35;Sonstiger Tetanus
A36;Diphtherie
A37;Keuchhusten
A38;Scharlach
A39;Meningokokkeninfektion
A40;Streptokokkensepsis
A41;Sonstige Sepsis
A42;Aktinomykose
A43;Nokardiose
A44;Bartonellose
A46;Erysipel [Wundrose]
A48;Sonstige bakterielle Krankheiten;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert
A49;Bakt. Infektion n.n.bez. Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A50;Syphilis connata
A51;Frühsyphilis
A52;Spätsyphilis
A53;Sonstige und nicht näher bezeichnete Syphilis
A54;Gonokokkeninfektion
A55;Lymphogranuloma inguinale (venereum) durch Chlamydien
A56;Sonstige durch GV übertragene Chlamydiosen;Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten
A57;Ulcus molle (venereum)
A58;Granuloma venereum (inguinale)
A59;Trichomoniasis
A60;Infektionen des Anogenitalbereiches durch HSV;Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex]
A63;Sonst. vorw. durch GV übertragene Krankh.;Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert
A64;Durch GV übertragene Krankheiten;Durch Geschlechtsverkehr übertragene Krankheiten, nicht näher bezeichnet
A65;Nichtvenerische Syphilis
A66;Frambösie
A67;Pinta [Carate]
A68;Rückfallfieber
A69;Sonstige Spirochäteninfektionen
A70;Infektionen durch Chlamydia psittaci
A71;Trachom
A74;Sonstige Krankheiten durch Chlamydien
A75;Fleckfieber
A77;Zeckenbissfieber [Rickettsiosen];Zeckenbissfieber [Rickettsiosen, durch Zecken übertragen]
A78;Q-Fieber
A79;Sonstige Rickettsiosen
A80;Akute Poliomyelitis [Spinale Kinderlähmung]
A81;Atypische Virusinfektionen des Zentralnervensystems
A82;Tollwut [Rabies]
A83;Virusenzeph., durch Moskitos [Stechmücken] übertr.;Virusenzephalitis, durch Moskitos [Stechmücken] übertragen
A84;Virusenzephalitis, durch Zecken übertragen
A85;Sonstige Virusenzephalitis; Sonstige Virusenzephalitis, anderenorts nicht klassifiziert
A86;Virusenzephalitis, nicht näher bezeichnet
A87;Virusmeningitis
A88;Sonstige Virusinfektionen des ZNS; Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert
A89;Virusinfektion des ZNS, n.n.bez.;Virusinfektion des Zentralnervensystems, nicht näher bezeichnet
A92;Sonstige durch Moskitos übertragene Viruskrankheiten;Sonstige durch Moskitos [Stechmücken] übertragene Viruskrankheiten
A93;Sonstige durch Arthrop. übertragene Viruskr.;Sonstige durch Arthropoden übertragene Viruskrankheiten, anderenorts nicht klassifiziert
A94;Durch Arthrop. übertragene Viruskrankheit, n.n.bez.;Durch Arthropoden übertragene Viruskrankheit, nicht näher bezeichnet
A95;Gelbfieber
A96;Hämorrhagisches Fieber durch Arenaviren
A97;Dengue
A98;Sonstige hämorrhagische Viruskrankheiten, […];Sonstige hämorrhagische Viruskrankheiten, anderenorts nicht klassifiziert
A99;Nicht näher bezeichnete hämorrhagische Viruskrankheit
B00;Infektionen durch Herpesviren [Herpes simplex]
B01;Varizellen [Windpocken]
B02;Zoster [Herpes zoster]
B03;Pocken
B04;Affenpocken
B05;Masern
B06;Röteln [Rubeola] [Rubella]
B07;Viruswarzen
B08;Sonst. Virusinf., [Haut- & Schleimhautläs.];Sonstige Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind, anderenorts nicht klassifiziert
B09;N.n.bez. Virusinfektion, [Haut- & Schleimhautläs.];Nicht näher bezeichnete Virusinfektion, die durch Haut- und Schleimhautläsionen gekennzeichnet ist
B15;Akute Virushepatitis A
B16;Akute Virushepatitis B
B17;Sonstige akute Virushepatitis
B18;Chronische Virushepatitis
B19;Nicht näher bezeichnete Virushepatitis
B20;Infektiöse und parasitäre Krankheiten infolge HIV […];Infektiöse und parasitäre Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B21;Bösartige Neubildungen infolge HIV-Krankheit;Bösartige Neubildungen infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B22;Sonstige näher bezeichnete Krankheiten infolge HIV […];Sonstige näher bezeichnete Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B23;Sonstige Krankheitszustände infolge HIV-Krankheit;Sonstige Krankheitszustände infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B24;Nicht näher bezeichnete HIV-Krankheit;Nicht näher bezeichnete HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B25;Zytomegalie
B26;Mumps
B27;Infektiöse Mononukleose
B30;Viruskonjunktivitis
B33;Sonstige Viruskrankheiten, anderenorts n. klassifiziert;Sonstige Viruskrankheiten, anderenorts nicht klassifiziert
B34;Viruskrankheit n.n.bez. Lokalisation
B35;Dermatophytose [Tinea]
B36;Sonstige oberflächliche Mykosen
B37;Kandidose
B38;Kokzidioidomykose
B39;Histoplasmose
B40;Blastomykose
B41;Parakokzidioidomykose
B42;Sporotrichose
B43;Chromomykose und chromomykotischer Abszess
B44;Aspergillose
B45;Kryptokokkose
B46;Zygomykose
B47;Myzetom
B48;Sonstige Mykosen, anderenorts nicht klassifiziert
B49;Nicht näher bezeichnete Mykose
B50;Malaria tropica durch Plasmodium falciparum
B51;Malaria tertiana durch Plasmodium vivax
B52;Malaria quartana durch Plasmodium malariae
B53;Sonstige parasitologisch bestätigte Malaria
B54;Malaria, nicht näher bezeichnet
B55;Leishmaniose
B56;Afrikanische Trypanosomiasis
B57;Chagas-Krankheit
B58;Toxoplasmose
B59;Pneumozystose J17.3 
B60;Sonstige Protozoenkrankheiten, a.n.k.;Sonstige Protozoenkrankheiten, anderenorts nicht klassifiziert
B64;Nicht näher bezeichnete Protozoenkrankheit
B65;Schistosomiasis [Bilharziose]
B66;Befall durch sonstige Trematoden [Egel]
B67;Echinokokkose
B68;Taeniasis
B69;Zystizerkose
B70;Diphyllobothriose und Sparganose
B71;Befall durch sonstige Zestoden
B72;Drakunkulose
B73;Onchozerkose
B74;Filariose
B75;Trichinellose
B76;Hakenwurm-Krankheit
B77;Askaridose
B78;Strongyloidiasis
B79;Trichuriasis
B80;Enterobiasis
B81;Sonstige intestinale Helminthosen […];Sonstige intestinale Helminthosen, anderenorts nicht klassifiziert
B82;Nicht näher bezeichneter intestinaler Parasitismus
B83;Sonstige Helminthosen
B85;Pedikulose [Läusebef.] und Phthiriasis [Filzläusebef.];Pedikulose [Läusebefall] und Phthiriasis [Filzläusebefall]
B86;Skabies
B87;Myiasis
B88;Sonstiger Parasitenbefall der Haut
B89;Nicht näher bezeichnete parasitäre Krankheit
B90;Folgezustände der Tuberkulose
B91;Folgezustände der Poliomyelitis
B92;Folgezustände der Lepra
B94;Folgezustände […] n.n.bez. infekt. & parasit. Kr.;Folgezustände sonstiger und nicht näher bezeichneter infektiöser und parasitärer Krankheiten
B95;Streptokokken und Staphylokokken als Ursache […];Streptokokken und Staphylokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B96;Sonstige näher bezeichnete Bakterien als Ursache […];Sonstige näher bezeichnete Bakterien als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B97;Viren als Ursache von Krankheiten, […];Viren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B98;Sonstige näher bezeichnete infektiöse Erreger […];Sonstige näher bezeichnete infektiöse Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind
B99;Sonstige und n.n.bez. Infektionskrankheiten;Sonstige und nicht näher bezeichnete Infektionskrankheiten
C00;Bösartige Neubildung der Lippe
C01;Bösartige Neubildung des Zungengrundes
C02;Bösar. Neubildung sonst. & n.n.bez. Teile der Zunge;Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Zunge
C03;Bösartige Neubildung des Zahnfleisches
C04;Bösartige Neubildung des Mundbodens
C05;Bösartige Neubildung des Gaumens
C06;Bösar. Neubildung sonstiger und n.n.bez. Teile d. Mundes;Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile des Mundes
C07;Bösartige Neubildung der Parotis
C08;Bösar. Neubildung sonst. & n.n.bez. gr. Speicheldrüsen;Bösartige Neubildung sonstiger und nicht näher bezeichneter großer Speicheldrüsen
C09;Bösartige Neubildung der Tonsille
C10;Bösartige Neubildung des Oropharynx
C11;Bösartige Neubildung des Nasopharynx
C12;Bösartige Neubildung des Recessus piriformis
C13;Bösartige Neubildung des Hypopharynx
C14;Bösart. Neubil. sonst. […] Lok. Lippe/Oro-/Pharing.;Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen der Lippe, der Mundhöhle und des Pharynx
C15;Bösartige Neubildung des Ösophagus
C16;Bösartige Neubildung des Magens
C17;Bösartige Neubildung des Dünndarmes
C18;Bösartige Neubildung des Kolons
C19;Bösartige Neubildung am Rektosigmoid, Übergang
C20;Bösartige Neubildung des Rektums
C21;Bösartige Neubildung des Anus und des Analkanals
C22;Bösartige Neubildung der Leber & d. intrahep. Gallengänge;Bösartige Neubildung der Leber und der intrahepatischen Gallengänge
C23;Bösartige Neubildung der Gallenblase
C24;Bösartige Neubildung […] n.n.bez. Teile der Gallenwege;Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Gallenwege
C25;Bösartige Neubildung des Pankreas
C26;Bösartige Neubildung sonst. […] Verdauungsorgane;Bösartige Neubildung sonstiger und ungenau bezeichneter Verdauungsorgane
C30;Bösartige Neubildung der Nasenhöhle und des Mittelohres
C31;Bösartige Neubildung der Nasennebenhöhlen
C32;Bösartige Neubildung des Larynx
C33;Bösartige Neubildung der Trachea
C34;Bösartige Neubildung der Bronchien und der Lunge
C37;Bösartige Neubildung des Thymus
C38;Bösartige Neubildung des Cors, d. Mediast. & d. Pleura;Bösartige Neubildung des Herzens, des Mediastinums und der Pleura
C39;Bösartige Neubildung pulmonal. & intrathora. Organe;Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen des Atmungssystems und sonstiger intrathorakaler Organe
C40;Bösartige ossäre/chondrale Neubildung der Extr.;Bösartige Neubildung des Knochens und des Gelenkknorpels der Extremitäten
C41;Bösartige ossäre/chondrale Neubildung sonst. […] Lokal.;Bösartige Neubildung des Knochens und des Gelenkknorpels sonstiger und nicht näher bezeichneter Lokalisationen
C43;Bösartiges Melanom der Haut
C44;Sonstige bösartige Neubildungen der Haut
C45;Mesotheliom
C46;Kaposi-Sarkom [Sarcoma idiopathicum multiplex haem.];Kaposi-Sarkom [Sarcoma idiopathicum multiplex haemorrhagicum]
C47;Bösartige Neubildung der peripheren Nerven […];Bösartige Neubildung der peripheren Nerven und des autonomen Nervensystems
C48;Bösartige Neubildung des (Retro-)peritoneums;Bösartige Neubildung des Retroperitoneums und des Peritoneums
C49;Bösartige Neubildung sonst. Binde-/Weichteilgewebes […];Bösartige Neubildung sonstigen Bindegewebes und anderer Weichteilgewebe
C50;Bösartige Neubildung der Brustdrüse [Mamma]
C51;Bösartige Neubildung der Vulva
C52;Bösartige Neubildung der Vagina
C53;Bösartige Neubildung der Cervix uteri
C54;Bösartige Neubildung des Corpus uteri
C55;Bösartige Neubildung des Uterus, Teil n.n.bez.;Bösartige Neubildung des Uterus, Teil nicht näher bezeichnet
C56;Bösartige Neubildung des Ovars
C57;Bösartige Neubildung […] n.n.bez. weibl. Genitalorgane;Bösartige Neubildung sonstiger und nicht näher bezeichneter weiblicher Genitalorgane
C58;Bösartige Neubildung der Plazenta
C60;Bösartige Neubildung des Penis
C61;Bösartige Neubildung der Prostata
C62;Bösartige Neubildung des Hodens
C63;Bösartige Neubildung […] n.n.bez. männl. Genitalorgane;Bösartige Neubildung sonstiger und nicht näher bezeichneter männlicher Genitalorgane
C64;Bösartige Neubildung der Niere, ausgenommen Nierenbecken
C65;Bösartige Neubildung des Nierenbeckens
C66;Bösartige Neubildung des Ureters
C67;Bösartige Neubildung der Harnblase
C68;Bösartige Neubildung sonstiger und n.n.bez. Harnorgane;Bösartige Neubildung sonstiger und nicht näher bezeichneter Harnorgane
C69;Bösartige Neubildung des Auges und der Augenanhangsgebilde
C70;Bösartige Neubildung der Meningen
C71;Bösartige Neubildung des Gehirns
C72;Bösar. Neubil. des Myelon, der Hirnnerven & and. ZNS Teile;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems
C73;Bösartige Neubildung der Schilddrüse
C74;Bösartige Neubildung der Nebenniere
C75;Bösartige Neubildung sonstiger endokriner Drüsen […];Bösartige Neubildung sonstiger endokriner Drüsen und verwandter Strukturen
C76;Bösartige Neubildung sonstiger und ungenau bez. Lok.;Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen
C77;Sekundäre und n.n.bez. bösar. Neubildung der Lymphknoten;Sekundäre und nicht näher bezeichnete bösartige Neubildung der Lymphknoten
C78;Sekundäre bösartige Neubildung d. Atmungs- & Verd.-organe;Sekundäre bösartige Neubildung der Atmungs- und Verdauungsorgane
C79;Sekundäre bösartige Neubildung […] n.n.bez. Lok.;Sekundäre bösartige Neubildung an sonstigen und nicht näher bezeichneten Lokalisationen
C80;Bösartige Neubildung ohne Angabe der Lokalisation
C81;Hodgkin-Lymphom [Lymphogranulomatose]
C82;Follikuläres Lymphom
C83;Nicht follikuläres Lymphom
C84;Reifzellige T/NK-Zell-Lymphome
C85;Sonstige und n.n.bez. Typen des Non-Hodgkin-Lymphoms;Sonstige und nicht näher bezeichnete Typen des Non-Hodgkin-Lymphoms
C86;Weitere spezifizierte T/NK-Zell-Lymphome
C88;Bösartige immunproliferative Krankheiten
C90;Plasmozytom und bösartige Plasmazellen-Neubildungen
C91;Lymphatische Leukämie
C92;Myeloische Leukämie
C93;Monozytenleukämie
C94;Sonstige Leukämien näher bezeichneten Zelltyps
C95;Leukämie nicht näher bezeichneten Zelltyps
C96;Sonstige & n.n.bez. bösar. lymph./hämatopoet. Neubildungen;Sonstige und nicht näher bezeichnete bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes
C97;Bösartige Neubildungen als Primärtumoren an mehreren Lok.;Bösartige Neubildungen als Primärtumoren an mehreren Lokalisationen
D00;Carcinoma in situ d. Mundhöhle, d. Ösophagus u. d. Magens;Carcinoma in situ der Mundhöhle, des Ösophagus und des Magens
D01;Carcinoma in situ sonstiger und n.n.bez. Verdauungsorgane;Carcinoma in situ sonstiger und nicht näher bezeichneter Verdauungsorgane
D02;Carcinoma in situ des Mittelohres und des Atmungssystems
D03;Melanoma in situ
D04;Carcinoma in situ der Haut
D05;Carcinoma in situ der Brustdrüse [Mamma]
D06;Carcinoma in situ der Cervix uteri
D07;Carcinoma in situ sonstiger und n.n.bez. Genitalorgane;Carcinoma in situ sonstiger und nicht näher bezeichneter Genitalorgane
D09;Carcinoma in situ sonstiger und n.n.bez. Lokalisationen;Carcinoma in situ sonstiger und nicht näher bezeichneter Lokalisationen
D10;Gutartige Neubildung des Mundes und des Pharynx
D11;Gutartige Neubildung der großen Speicheldrüsen
D12;Gutartige Neubildung colorektal, d. Analkanals & d. Anus;Gutartige Neubildung des Kolons, des Rektums, des Analkanals und des Anus
D13;Gutartige Neubildung sonst. […] Teile des Verdauungssys.;Gutartige Neubildung sonstiger und ungenau bezeichneter Teile des Verdauungssystems
D14;Gutartige Neubildung des Mittelohres und des Atmungssys.;Gutartige Neubildung des Mittelohres und des Atmungssystems
D15;Gutartige Neubildung […] n.n.bez. intrathorakaler Organe;Gutartige Neubildung sonstiger und nicht näher bezeichneter intrathorakaler Organe
D16;Gutartige Neubildung des Knochens und des Gelenkknorpels
D17;Gutartige Neubildung des Fettgewebes
D18;Hämangiom und Lymphangiom
D19;Gutartige Neubildung des mesothelialen Gewebes
D20;Gutartige Neubildung d. Weichteil. u. (Retro-)peritoneums;Gutartige Neubildung des Weichteilgewebes des Retroperitoneums und des Peritoneums
D21;Sonstige gutartige Neubildungen des Binde-/Weichteilgew.;Sonstige gutartige Neubildungen des Bindegewebes und anderer Weichteilgewebe
D22;Melanozytennävus
D23;Sonstige gutartige Neubildungen der Haut
D24;Gutartige Neubildung der Brustdrüse [Mamma]
D25;Leiomyom des Uterus
D26;Sonstige gutartige Neubildungen des Uterus
D27;Gutartige Neubildung des Ovars
D28;Gutar. Neubildung […] n.n.bez. weiblicher Genitalorgane;Gutartige Neubildung sonstiger und nicht näher bezeichneter weiblicher Genitalorgane
D29;Gutartige Neubildung der männlichen Genitalorgane
D30;Gutartige Neubildung der Harnorgane
D31;Gutartige Neubildung des Auges und der Augenanhangsgebilde
D32;Gutartige Neubildung der Meningen
D33;Gutartige Neubildung des Gehirns und anderer Teile des ZNS;Gutartige Neubildung des Gehirns und anderer Teile des Zentralnervensystems
D34;Gutartige Neubildung der Schilddrüse
D35;Gutartige Neubildung […] und n.n.bez. endokriner Drüsen;Gutartige Neubildung sonstiger und nicht näher bezeichneter endokriner Drüsen
D36;Gutartige Neubildung […] und n.n.bez. Lokalisationen;Gutartige Neubildung an sonstigen und nicht näher bezeichneten Lokalisationen
D37;Neubildung unsich. oder unbek. Verhaltens Mund/Verdauung;Neubildung unsicheren oder unbekannten Verhaltens der Mundhöhle und der Verdauungsorgane
D38;Neub. unsich. oder unbek. Verhal. Ohr/pulmon./thorak. Org.;Neubildung unsicheren oder unbekannten Verhaltens des Mittelohres, der Atmungsorgane und der intrathorakalen Organe
D39;Neubil. unsich. oder unbek. Verhal. der weibl. Genitalorg.;Neubildung unsicheren oder unbekannten Verhaltens der weiblichen Genitalorgane
D40;Neubildung unsich. oder unbek. Verhaltens männ. Genitalorg.;Neubildung unsicheren oder unbekannten Verhaltens der männlichen Genitalorgane
D41;Neubildung unsich. oder unbek. Verhaltens der Harnorgane;Neubildung unsicheren oder unbekannten Verhaltens der Harnorgane
D42;Neubildung unsich. oder unbek. Verhaltens der Meningen;Neubildung unsicheren oder unbekannten Verhaltens der Meningen
D43;Neubildung unsich. oder unbek. Verhaltens d. Gehirns/ZNS;Neubildung unsicheren oder unbekannten Verhaltens des Gehirns und des Zentralnervensystems
D44;Neubildung unsich. oder unbek. Verhaltens endokr. Drüsen;Neubildung unsicheren oder unbekannten Verhaltens der endokrinen Drüsen
D45;Polycythaemia vera
D46;Myelodysplastische Syndrome
D47;Sonst. Neubil. unsich./unbek. Verhalten lymph./hämatopoet.;Sonstige Neubildungen unsicheren oder unbekannten Verhaltens des lymphatischen, blutbildenden und verwandten Gewebes
D48;Neubildung unsich./unbek. Verhaltens […] n.n.bez. Lok.;Neubildung unsicheren oder unbekannten Verhaltens an sonstigen und nicht näher bezeichneten Lokalisationen
D50;Eisenmangelanämie
D51;Vitamin-B12-Mangelanämie 
D52;Folsäure-Mangelanämie
D53;Sonstige alimentäre Anämien
D55;Anämie durch Enzymdefekte
D56;Thalassämie
D57;Sichelzellenkrankheiten
D58;Sonstige hereditäre hämolytische Anämien
D59;Erworbene hämolytische Anämien
D60;Erworbene isolierte aplastische Anämie;Erworbene isolierte aplastische Anämie [Erythroblastopenie] [pure red cell aplasia]
D61;Sonstige aplastische Anämien
D62;Akute Blutungsanämie
D63;Anämie bei chronischen, anderenorts klass. Krankheiten;Anämie bei chronischen, anderenorts klassifizierten Krankheiten
D64;Sonstige Anämien
D65;Disseminierte intravasale Gerinnung;Disseminierte intravasale Gerinnung [Defibrinationssyndrom]
D66;Hereditärer Faktor-VIII-Mangel
D67;Hereditärer Faktor-IX-Mangel
D68;Sonstige Koagulopathien
D69;Purpura und sonstige hämorrhagische Diathesen
D70;Agranulozytose und Neutropenie
D71;Funktionelle Störungen der neutrophilen Granulozyten
D72;Sonstige Krankheiten der Leukozyten
D73;Krankheiten der Milz
D74;Methämoglobinämie
D75;Sonstige Krankheiten des Blutes u. d. blutbildenden Organe;Sonstige Krankheiten des Blutes und der blutbildenden Organe
D76;Sonstige n.bez. Krankheiten […] lymphoret./retik. Sys.;Sonstige näher bezeichnete Krankheiten mit Beteiligung des lymphoretikulären Gewebes und des retikulohistiozytären Systems
D77;Sonstige Krankheiten des Blutes & d. blutbild. Org. […];Sonstige Krankheiten des Blutes und der blutbildenden Organe bei anderenorts klassifizierten Krankheiten
D80;Immundefekt mit vorherrschendem Antikörpermangel
D81;Kombinierte Immundefekte
D82;Immundefekt in Verbindung mit anderen schweren Defekten
D83;Variabler Immundefekt [common variable immunodeficiency]
D84;Sonstige Immundefekte
D86;Sarkoidose
D89;Sonstige Störungen mit Beteiligung des Immunsystems […];Sonstige Störungen mit Beteiligung des Immunsystems, anderenorts nicht klassifiziert
